iter	hours	log_posterior	log_prior	loglik	missing	mixture	scale	shape
3320		3.496	-3260.659	-26.941	-3233.718	0.099	0.806	18.483	0.488
3330		3.506	-3263.673	-27.608	-3236.065	0.127	0.833	17.369	0.469
3340		3.517	-3263.845	-27.065	-3236.78	0.15	0.84	15.263	0.488
3350		3.527	-3261.751	-25.976	-3235.775	0.152	0.787	18.754	0.517
3360		3.538	-3261.744	-25.949	-3235.795	0.112	0.79	19.411	0.516
3370		3.548	-3264.312	-24.708	-3239.603	0.165	0.754	20.03	0.559
3380		3.558	-3262.231	-25.967	-3236.264	0.149	0.765	18.281	0.517
3390		3.569	-3261.891	-25.635	-3236.256	0.166	0.786	19.942	0.528
3400		3.579	-3263.346	-24.943	-3238.403	0.134	0.793	20.033	0.548
3410		3.59	-3262.956	-25.968	-3236.988	0.081	0.755	19.779	0.52
3420		3.6	-3263.112	-26.062	-3237.05	0.082	0.75	20.957	0.516
3430		3.611	-3260.848	-26.904	-3233.944	0.145	0.786	18.069	0.489
3440		3.621	-3260.999	-27.631	-3233.368	0.221	0.791	18.991	0.48
3450		3.632	-3261.094	-27.184	-3233.91	0.219	0.781	16.537	0.495
